Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
04/05/2002,&YM_CCB,E-mini Dow $5 Continuous Contract Backadjusted,8856,8950,8832,8900,2339,207,200206,16:00:00,10290,200209
04/08/2002,&YM_CCB,E-mini Dow $5 Continuous Contract Backadjusted,8888,8890,8715,8877,4234,1051,200206,16:00:00,10267,200209
04/09/2002,&YM_CCB,E-mini Dow $5 Continuous Contract Backadjusted,8900,8922,8814,8832,4407,1476,200206,16:00:00,10222,200209
04/10/2002,&YM_CCB,E-mini Dow $5 Continuous Contract Backadjusted,8839,9009,8825,8997,6190,1808,200206,16:00:00,10387,200209
04/11/2002,&YM_CCB,E-mini Dow $5 Continuous Contract Backadjusted,8980,8988,8768,8780,6372,2152,200206,16:00:00,10170,200209
04/12/2002,&YM_CCB,E-mini Dow $5 Continuous Contract Backadjusted,8820,8850,8750,8804,5387,2445,200206,16:00:00,10194,200209
04/15/2002,&YM_CCB,E-mini Dow $5 Continuous Contract Backadjusted,8806,8840,8678,8703,6740,2720,200206,16:00:00,10093,200209
04/16/2002,&YM_CCB,E-mini Dow $5 Continuous Contract Backadjusted,8751,8954,8742,8914,4122,2811,200206,16:00:00,10304,200209
04/17/2002,&YM_CCB,E-mini Dow $5 Continuous Contract Backadjusted,8919,8948,8795,8838,5415,3431,200206,16:00:00,10228,200209
04/18/2002,&YM_CCB,E-mini Dow $5 Continuous Contract Backadjusted,8848,8882,8650,8785,4857,3323,200206,16:00:00,10175,200209
04/19/2002,&YM_CCB,E-mini Dow $5 Continuous Contract Backadjusted,8750,8884,8750,8862,4241,3466,200206,16:00:00,10252,200209
04/22/2002,&YM_CCB,E-mini Dow $5 Continuous Contract Backadjusted,8857,8873,8721,8745,3306,3864,200206,16:00:00,10135,200209
04/23/2002,&YM_CCB,E-mini Dow $5 Continuous Contract Backadjusted,8758,8787,8675,8705,7045,4538,200206,16:00:00,10095,200209
