Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
05/17/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.71,79.74,79.62,79.66,3992,2461,198806,16:00:00,88.05,198809
05/18/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.56,79.69,79.43,79.66,4771,4973,198806,16:00:00,88.05,198809
05/19/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.57,79.57,79.36,79.39,4866,6229,198806,16:00:00,87.78,198809
05/20/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.42,79.54,79.36,79.45,3940,7483,198806,16:00:00,87.84,198809
05/23/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.51,79.51,79.44,79.48,3912,9223,198806,16:00:00,87.87,198809
05/24/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.44,79.5,79.39,79.5,4358,10468,198806,16:00:00,87.89,198809
05/25/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.53,79.57,79.32,79.34,6685,12478,198806,16:00:00,87.73,198809
05/26/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.39,79.42,79.23,79.31,5301,13339,198806,16:00:00,87.7,198809
05/27/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.22,79.22,78.97,79.08,5199,14128,198806,16:00:00,87.47,198809
05/30/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.06,79.19,79.06,79.19,3900,12271,198806,16:00:00,87.58,198809
05/31/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.16,79.16,79.06,79.09,2439,11498,198806,16:00:00,87.48,198809
06/01/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.15,79.16,78.96,79.09,2897,12395,198806,16:00:00,87.48,198809
06/02/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.17,79.19,79.07,79.11,3034,12785,198806,16:00:00,87.5,198809
06/03/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.05,79.14,79.03,79.11,2802,14249,198806,16:00:00,87.5,198809
06/06/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.1,79.18,79.07,79.17,2973,13989,198806,16:00:00,87.56,198809
06/07/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.19,79.28,79.18,79.27,4127,13989,198806,16:00:00,87.66,198809
06/08/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.35,79.35,79.24,79.34,2531,14289,198806,16:00:00,87.73,198809
06/09/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.35,79.48,79.32,79.48,3454,12764,198806,16:00:00,87.87,198809
06/10/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.51,79.53,79.45,79.49,3903,12205,198806,16:00:00,87.88,198809
06/14/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.45,79.57,79.45,79.57,3726,12214,198806,16:00:00,87.96,198809
06/15/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.53,79.8,79.53,79.62,4255,5384,198809,16:00:00,87.69,198812
06/16/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.67,79.67,79.58,79.65,2157,6645,198809,16:00:00,87.72,198812
06/17/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.57,79.63,79.46,79.63,2544,7887,198809,16:00:00,87.7,198812
06/20/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.7,79.7,79.63,79.68,2026,8548,198809,16:00:00,87.75,198812
06/21/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.75,79.76,79.66,79.72,3203,9552,198809,16:00:00,87.79,198812
06/22/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.75,79.76,79.64,79.69,1142,9749,198809,16:00:00,87.76,198812
06/23/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.65,79.84,79.62,79.79,1782,9893,198809,16:00:00,87.86,198812
06/24/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.81,79.9,79.78,79.84,2700,10946,198809,16:00:00,87.91,198812
06/27/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.78,79.78,79.72,79.72,1688,11293,198809,16:00:00,87.79,198812
06/28/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.71,79.77,79.68,79.77,1856,11219,198809,16:00:00,87.84,198812
06/29/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.69,79.87,79.67,79.83,3132,10543,198809,16:00:00,87.9,198812
06/30/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.78,79.85,79.78,79.8,1755,10433,198809,16:00:00,87.87,198812
07/01/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.87,79.93,79.87,79.91,1593,10889,198809,16:00:00,87.98,198812
07/04/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.91,79.91,79.83,79.87,1453,10938,198809,16:00:00,87.94,198812
07/05/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.89,79.96,79.89,79.93,2064,10553,198809,16:00:00,88.0,198812
07/06/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.99,80.03,79.95,80.02,2495,11242,198809,16:00:00,88.09,198812
07/07/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,80.06,80.09,80.04,80.06,3299,13233,198809,16:00:00,88.13,198812
07/08/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,80.05,80.05,79.96,79.96,2290,13848,198809,16:00:00,88.03,198812
07/11/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.95,80.0,79.95,79.99,970,13513,198809,16:00:00,88.06,198812
07/12/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.98,80.0,79.97,79.99,683,11930,198809,16:00:00,88.06,198812
07/13/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,80.01,80.02,79.9,79.91,1521,12136,198809,16:00:00,87.98,198812
07/14/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.92,79.94,79.9,79.94,1844,12979,198809,16:00:00,88.01,198812
07/15/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.94,79.95,79.89,79.93,1308,13270,198809,16:00:00,88.0,198812
07/18/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.91,79.92,79.82,79.83,2150,13768,198809,16:00:00,87.9,198812
07/19/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.81,79.82,79.76,79.78,2056,13460,198809,16:00:00,87.85,198812
07/20/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.79,79.82,79.77,79.79,2012,14233,198809,16:00:00,87.86,198812
07/21/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.79,79.83,79.73,79.82,3663,16046,198809,16:00:00,87.89,198812
07/22/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.81,79.86,79.81,79.82,1958,16358,198809,16:00:00,87.89,198812
07/25/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.86,79.86,79.79,79.86,1033,16577,198809,16:00:00,87.93,198812
07/26/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.85,79.88,79.8,79.82,1478,16015,198809,16:00:00,87.89,198812
07/27/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.79,79.8,79.74,79.78,2439,16727,198809,16:00:00,87.85,198812
07/28/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.78,79.78,79.68,79.69,2840,17747,198809,16:00:00,87.76,198812
07/29/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.69,79.78,79.64,79.76,1051,15784,198809,16:00:00,87.83,198812
08/01/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.7,79.72,79.69,79.7,146,15726,198809,16:00:00,87.77,198812
08/02/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.74,79.81,79.73,79.8,663,13484,198809,16:00:00,87.87,198812
08/03/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.83,79.86,79.79,79.8,2940,14415,198809,16:00:00,87.87,198812
08/04/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.8,79.84,79.79,79.82,1307,14267,198809,16:00:00,87.89,198812
08/05/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.84,79.87,79.81,79.83,900,13607,198809,16:00:00,87.9,198812
08/08/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.75,79.76,79.71,79.73,1861,13356,198809,16:00:00,87.8,198812
08/09/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.71,79.75,79.69,79.73,1737,13569,198809,16:00:00,87.8,198812
08/10/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.65,79.66,79.49,79.5,4353,14204,198809,16:00:00,87.57,198812
08/11/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.59,79.59,79.41,79.57,5349,14964,198809,16:00:00,87.64,198812
08/12/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.61,79.65,79.59,79.64,2016,14807,198809,16:00:00,87.71,198812
08/15/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.63,79.67,79.56,79.59,2138,14422,198809,16:00:00,87.66,198812
08/16/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.55,79.56,79.52,79.56,2114,14278,198809,16:00:00,87.63,198812
08/17/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.61,79.72,79.61,79.72,3732,16122,198809,16:00:00,87.79,198812
08/18/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.72,79.73,79.6,79.7,5010,17211,198809,16:00:00,87.77,198812
08/19/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.71,79.73,79.63,79.67,2599,16637,198809,16:00:00,87.74,198812
08/22/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.68,79.76,79.68,79.72,2239,16633,198809,16:00:00,87.79,198812
08/23/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.69,79.71,79.62,79.63,3540,17731,198809,16:00:00,87.7,198812
08/24/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.59,79.63,79.5,79.52,5375,19087,198809,16:00:00,87.59,198812
08/25/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.54,79.66,79.52,79.62,7772,22173,198809,16:00:00,87.69,198812
08/26/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.57,79.59,79.33,79.36,3902,21741,198809,16:00:00,87.43,198812
08/29/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.4,79.48,79.4,79.46,3339,22207,198809,16:00:00,87.53,198812
08/30/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.49,79.49,79.4,79.45,3310,21658,198809,16:00:00,87.52,198812
08/31/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.5,79.57,79.43,79.46,2381,18672,198809,16:00:00,87.53,198812
09/01/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.48,79.56,79.41,79.49,3040,18579,198809,16:00:00,87.56,198812
09/02/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.48,79.49,79.44,79.45,3186,16440,198809,16:00:00,87.52,198812
09/05/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.58,79.61,79.54,79.56,2617,16377,198809,16:00:00,87.63,198812
09/06/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.56,79.59,79.55,79.55,3546,15110,198809,16:00:00,87.62,198812
09/07/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.58,79.6,79.52,79.6,2123,15066,198809,16:00:00,87.67,198812
09/08/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.58,79.69,79.55,79.69,2895,14870,198809,16:00:00,87.76,198812
09/09/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.69,79.69,79.61,79.63,3080,15348,198809,16:00:00,87.7,198812
09/12/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.61,79.65,79.61,79.64,2015,14455,198809,16:00:00,87.71,198812
09/13/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.6,79.67,79.59,79.63,4741,15867,198809,16:00:00,87.7,198812
09/14/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.62,79.67,79.6,79.67,3489,16002,198809,16:00:00,87.74,198812
09/15/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.71,79.71,79.64,79.66,4433,7740,198812,16:00:00,87.57,198903
09/16/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.64,79.69,79.62,79.67,2571,9349,198812,16:00:00,87.58,198903
09/19/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.65,79.67,79.53,79.54,1682,10294,198812,16:00:00,87.45,198903
09/20/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.5,79.55,79.47,79.55,3568,12072,198812,16:00:00,87.46,198903
09/21/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.5,79.58,79.48,79.52,1906,11742,198812,16:00:00,87.43,198903
09/22/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.5,79.56,79.43,79.55,3367,13270,198812,16:00:00,87.46,198903
09/23/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.56,79.57,79.48,79.48,1745,13965,198812,16:00:00,87.39,198903
09/26/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.47,79.49,79.4,79.4,2809,14363,198812,16:00:00,87.31,198903
09/27/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.44,79.47,79.41,79.45,878,14477,198812,16:00:00,87.36,198903
09/28/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.48,79.51,79.14,79.19,4921,14752,198812,16:00:00,87.1,198903
09/29/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.2,79.24,79.14,79.16,3761,15652,198812,16:00:00,87.07,198903
09/30/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.21,79.21,79.11,79.14,2691,15700,198812,16:00:00,87.05,198903
10/03/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.17,79.24,79.15,79.2,228,15718,198812,16:00:00,87.11,198903
10/04/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.22,79.27,79.11,79.12,2432,16911,198812,16:00:00,87.03,198903
10/05/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.16,79.18,79.14,79.14,2268,13747,198812,16:00:00,87.05,198903
10/06/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.22,79.25,79.18,79.23,3420,15460,198812,16:00:00,87.14,198903
10/07/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.27,79.29,79.2,79.27,2099,15662,198812,16:00:00,87.18,198903
10/10/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.3,79.33,79.28,79.29,2287,16138,198812,16:00:00,87.2,198903
10/11/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.31,79.31,79.22,79.28,2356,15132,198812,16:00:00,87.19,198903
10/12/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.24,79.24,79.19,79.21,2170,14979,198812,16:00:00,87.12,198903
10/13/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.17,79.21,79.14,79.2,2487,14764,198812,16:00:00,87.11,198903
10/14/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.2,79.22,79.18,79.19,1052,14769,198812,16:00:00,87.1,198903
10/17/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.21,79.22,79.19,79.2,1154,15258,198812,16:00:00,87.11,198903
10/18/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.18,79.19,79.12,79.15,3263,16527,198812,16:00:00,87.06,198903
10/19/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.16,79.31,79.09,79.3,7288,18035,198812,16:00:00,87.21,198903
10/20/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.36,79.38,79.26,79.32,3776,15556,198812,16:00:00,87.23,198903
10/21/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.31,79.31,79.23,79.23,1684,15367,198812,16:00:00,87.14,198903
10/24/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.23,79.28,79.22,79.28,1801,14261,198812,16:00:00,87.19,198903
10/25/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.28,79.29,78.88,78.94,6345,17452,198812,16:00:00,86.85,198903
10/26/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,78.98,79.01,78.93,79.01,5596,19244,198812,16:00:00,86.92,198903
10/27/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.05,79.13,79.04,79.12,6473,21528,198812,16:00:00,87.03,198903
10/28/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.08,79.1,79.02,79.09,4638,21295,198812,16:00:00,87.0,198903
10/31/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.1,79.12,79.1,79.12,716,19511,198812,16:00:00,87.03,198903
11/01/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.1,79.12,79.09,79.12,521,19667,198812,16:00:00,87.03,198903
11/02/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.13,79.18,79.12,79.17,3532,20468,198812,16:00:00,87.08,198903
11/03/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.21,79.22,79.13,79.14,3659,19562,198812,16:00:00,87.05,198903
11/04/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.15,79.18,79.11,79.12,2296,19881,198812,16:00:00,87.03,198903
11/07/1988,&YYT_CCB,ASX 3 Year Treasury Bond Continuous Contract Backadjusted,79.08,79.09,79.01,79.07,3580,21298,198812,16:00:00,86.98,198903
