Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
03/10/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-15.03125,-15.03125,-15.0625,-15.0625,10,36,198003,16:00:00,79.84375,198006
03/13/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-14.90625,-14.90625,-15.03125,-15.03125,6,41,198003,16:00:00,79.875,198006
03/14/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-15.21875,-15.21875,-15.21875,-15.21875,1,42,198003,16:00:00,79.6875,198006
03/15/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-15.15625,-15.15625,-15.15625,-15.15625,16,56,198003,16:00:00,79.75,198006
03/16/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-15.15625,-15.15625,-15.15625,-15.15625,0,56,198003,16:00:00,79.75,198006
03/17/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-15.125,-15.125,-15.125,-15.125,0,56,198003,16:00:00,79.78125,198006
03/20/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-15.0625,-14.90625,-15.0625,-14.90625,13,69,198003,16:00:00,80.0,198006
03/21/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-14.90625,-14.875,-14.90625,-14.90625,10,79,198003,16:00:00,80.0,198006
03/22/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-15.125,-15.09375,-15.25,-15.25,4,80,198003,16:00:00,79.65625,198006
03/23/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-15.46875,-15.46875,-15.46875,-15.46875,50,125,198003,16:00:00,79.4375,198006
03/27/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-15.71875,-15.71875,-15.71875,-15.71875,6,129,198003,16:00:00,79.1875,198006
03/28/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-15.6875,-15.6875,-15.78125,-15.78125,7,131,198003,16:00:00,79.125,198006
03/29/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-15.90625,-15.78125,-15.90625,-15.78125,115,244,198003,16:00:00,79.125,198006
03/30/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-15.90625,-15.90625,-15.90625,-15.90625,0,244,198003,16:00:00,79.0,198006
03/31/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.28125,-16.28125,-16.28125,-16.28125,0,244,198003,16:00:00,78.625,198006
04/03/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.3125,-16.21875,-16.3125,-16.21875,12,254,198003,16:00:00,78.6875,198006
04/04/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.15625,-16.15625,-16.15625,-16.15625,0,254,198003,16:00:00,78.75,198006
04/05/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.25,-16.25,-16.4375,-16.4375,3,255,198003,16:00:00,78.46875,198006
04/06/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.4375,-16.4375,-16.4375,-16.4375,0,255,198003,16:00:00,78.46875,198006
04/07/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.4375,-16.4375,-16.46875,-16.46875,15,260,198003,16:00:00,78.4375,198006
04/10/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.46875,-16.46875,-16.46875,-16.46875,0,260,198003,16:00:00,78.4375,198006
04/11/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.5625,-16.5625,-16.59375,-16.59375,3,263,198003,16:00:00,78.3125,198006
04/12/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.59375,-16.59375,-16.625,-16.625,6,259,198003,16:00:00,78.28125,198006
04/13/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.625,-16.5625,-16.625,-16.5625,16,275,198003,16:00:00,78.34375,198006
04/14/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.25,-16.25,-16.25,-16.25,1,276,198003,16:00:00,78.65625,198006
04/17/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.15625,-16.15625,-16.15625,-16.15625,0,276,198003,16:00:00,78.75,198006
04/18/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.125,-16.125,-16.125,-16.125,4,280,198003,16:00:00,78.78125,198006
04/19/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.46875,-16.46875,-16.46875,-16.46875,3,277,198003,16:00:00,78.4375,198006
04/20/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.53125,-16.53125,-16.53125,-16.53125,0,277,198003,16:00:00,78.375,198006
04/21/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.53125,-16.53125,-16.625,-16.625,6,277,198003,16:00:00,78.28125,198006
04/24/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.78125,-16.78125,-16.78125,-16.78125,0,277,198003,16:00:00,78.125,198006
04/25/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.6875,-16.65625,-16.6875,-16.65625,1,276,198003,16:00:00,78.25,198006
04/26/1978,&ZB_CCB,U.S. T-Bond Continuous Contract Backadjusted,-16.625,-16.625,-16.875,-16.875,3,276,198003,16:00:00,78.03125,198006
