Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/04/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,864.5,865.0,864.5,865.0,11,11,197903,16:00:00,236.5,197905
01/05/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,864.5,866.0,864.5,864.75,10,19,197903,16:00:00,236.25,197905
01/06/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,864.5,865.0,863.0,864.0,32,49,197903,16:00:00,235.5,197905
01/09/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,864.0,864.25,863.5,864.25,27,60,197903,16:00:00,235.75,197905
01/10/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,864.75,865.0,864.25,864.5,216,235,197903,16:00:00,236.0,197905
01/11/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,865.0,866.5,865.0,866.25,43,265,197903,16:00:00,237.75,197905
01/12/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,866.0,867.25,866.0,866.5,468,711,197903,16:00:00,238.0,197905
01/13/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,867.0,867.5,866.75,866.75,43,742,197903,16:00:00,238.25,197905
01/16/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,866.5,867.5,865.75,866.5,107,787,197903,16:00:00,238.0,197905
01/17/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,865.0,865.0,863.25,864.25,131,798,197903,16:00:00,235.75,197905
01/18/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,864.75,864.75,863.0,863.0,29,801,197903,16:00:00,234.5,197905
01/19/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,863.0,864.25,863.0,864.25,66,826,197903,16:00:00,235.75,197905
01/20/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,864.5,865.5,864.0,865.5,90,893,197903,16:00:00,237.0,197905
01/23/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,865.5,866.5,865.5,866.5,26,893,197903,16:00:00,238.0,197905
01/24/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,866.5,867.0,866.25,866.25,22,909,197903,16:00:00,237.75,197905
01/25/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,866.5,867.0,866.0,866.0,80,931,197903,16:00:00,237.5,197905
01/26/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,866.25,866.25,864.5,864.75,196,1083,197903,16:00:00,236.25,197905
01/27/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,864.25,865.0,864.0,864.5,16,1089,197903,16:00:00,236.0,197905
01/30/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,864.5,864.5,862.75,862.75,34,1099,197903,16:00:00,234.25,197905
01/31/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,862.5,862.5,861.25,861.5,112,1150,197903,16:00:00,233.0,197905
02/01/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,862.0,862.25,860.75,861.0,55,1187,197903,16:00:00,232.5,197905
02/02/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,861.5,862.75,861.5,862.0,125,1248,197903,16:00:00,233.5,197905
02/03/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,862.5,863.0,862.0,862.0,71,1296,197903,16:00:00,233.5,197905
02/06/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,862.75,863.75,862.25,862.25,86,1345,197903,16:00:00,233.75,197905
02/07/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,862.75,863.0,861.75,861.75,78,1380,197903,16:00:00,233.25,197905
02/08/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,862.0,862.5,862.0,862.25,139,1486,197903,16:00:00,233.75,197905
02/09/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,862.0,864.5,861.75,863.5,791,2083,197903,16:00:00,235.0,197905
02/10/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,864.5,865.5,864.25,865.25,210,2123,197903,16:00:00,236.75,197905
02/13/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,865.5,865.75,863.75,863.75,92,2173,197903,16:00:00,235.25,197905
02/14/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,864.25,864.25,863.25,863.5,188,2287,197903,16:00:00,235.0,197905
02/15/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,863.75,864.0,863.5,863.5,182,2400,197903,16:00:00,235.0,197905
02/16/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,863.5,863.5,863.0,863.5,155,2519,197903,16:00:00,235.0,197905
02/17/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,863.5,864.0,863.25,863.25,151,2593,197903,16:00:00,234.75,197905
02/21/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,863.25,864.0,862.75,863.0,252,2603,197903,16:00:00,234.5,197905
02/22/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,863.5,864.0,863.5,864.0,134,2684,197903,16:00:00,235.5,197905
02/23/1978,&ZC_CCB,Corn Continuous Contract Backadjusted,863.75,864.75,863.75,864.0,100,2651,197903,16:00:00,235.5,197905
