Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/17/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,45.09,45.09,44.49,44.59,22,151,197901,16:00:00,19.25,197903
01/18/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.49,44.49,44.49,44.49,1,152,197901,16:00:00,19.15,197903
01/19/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.49,44.64,44.44,44.54,29,155,197901,16:00:00,19.2,197903
01/20/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.49,44.69,44.49,44.69,3,155,197901,16:00:00,19.35,197903
01/23/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.69,44.69,44.69,44.69,0,155,197901,16:00:00,19.35,197903
01/24/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.69,44.74,44.64,44.64,107,257,197901,16:00:00,19.3,197903
01/25/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.59,44.84,44.59,44.84,13,270,197901,16:00:00,19.5,197903
01/26/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.69,44.84,44.59,44.72,18,269,197901,16:00:00,19.38,197903
01/27/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.74,44.84,44.64,44.71,4,271,197901,16:00:00,19.37,197903
01/30/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.73,44.73,44.59,44.59,16,281,197901,16:00:00,19.25,197903
01/31/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.54,44.56,44.49,44.49,60,327,197901,16:00:00,19.15,197903
02/01/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.74,44.84,44.74,44.74,6,329,197901,16:00:00,19.4,197903
02/02/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.74,44.79,44.69,44.72,45,354,197901,16:00:00,19.38,197903
02/03/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.79,44.84,44.74,44.74,70,380,197901,16:00:00,19.4,197903
02/06/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.79,44.79,44.79,44.79,15,380,197901,16:00:00,19.45,197903
02/07/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.74,44.86,44.74,44.86,51,409,197901,16:00:00,19.52,197903
02/08/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.75,44.75,44.64,44.71,31,412,197901,16:00:00,19.37,197903
02/09/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.72,44.84,44.64,44.71,187,474,197901,16:00:00,19.37,197903
02/10/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.69,44.84,44.64,44.84,133,527,197901,16:00:00,19.5,197903
02/13/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.84,44.89,44.79,44.79,242,709,197901,16:00:00,19.45,197903
02/14/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.84,44.94,44.84,44.94,2,710,197901,16:00:00,19.6,197903
02/15/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.99,44.99,44.99,44.99,2,708,197901,16:00:00,19.65,197903
02/16/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,44.99,45.14,44.99,45.14,63,722,197901,16:00:00,19.8,197903
02/17/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,45.14,45.39,45.09,45.39,32,740,197901,16:00:00,20.05,197903
02/21/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,45.34,45.79,45.29,45.79,27,761,197901,16:00:00,20.45,197903
02/22/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,45.94,46.04,45.69,45.69,109,828,197901,16:00:00,20.35,197903
02/23/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,45.79,46.09,45.79,46.09,53,826,197901,16:00:00,20.75,197903
02/24/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,46.24,46.24,46.14,46.17,108,923,197901,16:00:00,20.83,197903
02/27/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,46.19,46.19,45.84,45.87,11,930,197901,16:00:00,20.53,197903
02/28/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,45.77,46.09,45.77,46.09,175,1017,197901,16:00:00,20.75,197903
03/01/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,46.34,46.74,46.34,46.69,136,1076,197901,16:00:00,21.35,197903
03/02/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,46.59,46.94,46.39,46.39,44,1107,197901,16:00:00,21.05,197903
03/03/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,46.39,46.94,46.39,46.49,130,1170,197901,16:00:00,21.15,197903
03/06/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,46.74,46.74,46.34,46.42,304,1357,197901,16:00:00,21.08,197903
03/07/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,46.59,46.84,46.59,46.74,329,1131,197901,16:00:00,21.4,197903
03/08/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,47.24,47.54,47.04,47.09,238,1271,197901,16:00:00,21.75,197903
03/09/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,47.74,47.84,47.44,47.56,161,1336,197901,16:00:00,22.22,197903
03/10/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,46.64,47.49,46.64,47.17,52,1312,197901,16:00:00,21.83,197903
03/13/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,47.19,48.09,47.19,48.02,341,1239,197901,16:00:00,22.68,197903
03/14/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,47.84,48.54,47.84,48.19,79,1238,197901,16:00:00,22.85,197903
03/15/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,48.19,48.59,47.94,47.97,25,1235,197901,16:00:00,22.63,197903
03/16/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,48.09,48.14,47.84,47.84,54,1234,197901,16:00:00,22.5,197903
03/17/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,48.54,48.54,47.74,47.74,135,1834,197901,16:00:00,22.4,197903
03/20/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,47.44,47.44,47.39,47.39,113,1928,197901,16:00:00,22.05,197903
03/21/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,47.44,47.44,47.04,47.04,126,1934,197901,16:00:00,21.7,197903
03/22/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,47.09,47.39,47.09,47.09,317,2160,197901,16:00:00,21.75,197903
03/23/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,47.29,47.34,47.09,47.1,549,2569,197901,16:00:00,21.76,197903
03/27/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,47.59,47.64,47.44,47.52,175,2654,197901,16:00:00,22.18,197903
03/28/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,47.64,47.79,47.39,47.44,236,2737,197901,16:00:00,22.1,197903
03/29/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,47.44,47.44,46.84,47.37,339,2924,197901,16:00:00,22.03,197903
03/30/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,47.44,47.44,46.84,46.94,576,3383,197901,16:00:00,21.6,197903
03/31/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,47.24,47.34,47.09,47.27,94,3404,197901,16:00:00,21.93,197903
04/03/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,46.84,47.09,46.59,46.71,89,3400,197901,16:00:00,21.37,197903
04/04/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,46.39,46.94,46.34,46.39,163,3460,197901,16:00:00,21.05,197903
04/05/1978,&ZL_CCB,Soybean Oil Continuous Contract Backadjusted,46.49,46.89,46.49,46.64,416,3646,197901,16:00:00,21.3,197903
