Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/25/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-526.7,-526.7,-526.7,-526.7,201,101,197901,16:00:00,160.5,197903
01/26/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-525.7,-525.7,-526.7,-526.6,8,109,197901,16:00:00,160.6,197903
01/27/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-526.5,-526.5,-526.5,-526.5,0,109,197901,16:00:00,160.7,197903
01/30/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-526.2,-526.2,-526.2,-526.2,5,109,197901,16:00:00,161.0,197903
01/31/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-528.5,-528.5,-528.5,-528.5,0,109,197901,16:00:00,158.7,197903
02/01/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-528.2,-528.2,-528.2,-528.2,1,108,197901,16:00:00,159.0,197903
02/02/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-526.7,-525.2,-526.7,-525.2,10,108,197901,16:00:00,162.0,197903
02/03/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-525.5,-525.5,-525.5,-525.5,0,108,197901,16:00:00,161.7,197903
02/06/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-523.7,-523.7,-523.7,-523.7,0,108,197901,16:00:00,163.5,197903
02/07/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-524.7,-524.2,-524.7,-524.7,10,118,197901,16:00:00,162.5,197903
02/08/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-527.4,-527.4,-527.4,-527.4,0,118,197901,16:00:00,159.8,197903
02/09/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-527.6,-527.6,-527.6,-527.6,0,118,197901,16:00:00,159.6,197903
02/10/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-527.7,-527.7,-527.7,-527.7,0,118,197901,16:00:00,159.5,197903
02/13/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-527.7,-527.7,-527.7,-527.7,10,128,197901,16:00:00,159.5,197903
02/14/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-526.7,-525.7,-526.8,-525.7,11,139,197901,16:00:00,161.5,197903
02/15/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-525.8,-525.8,-525.8,-525.8,0,139,197901,16:00:00,161.4,197903
02/16/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-526.2,-525.7,-526.2,-525.8,13,152,197901,16:00:00,161.4,197903
02/17/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-526.2,-526.2,-527.2,-527.1,13,165,197901,16:00:00,160.1,197903
02/21/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-526.6,-525.2,-526.6,-525.2,13,169,197901,16:00:00,162.0,197903
02/22/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-525.2,-525.2,-527.2,-527.2,28,196,197901,16:00:00,160.0,197903
02/23/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-526.7,-526.2,-526.7,-526.2,32,228,197901,16:00:00,161.0,197903
02/24/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-526.9,-526.9,-526.9,-526.9,0,228,197901,16:00:00,160.3,197903
02/27/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-526.7,-526.7,-526.7,-526.7,21,227,197901,16:00:00,160.5,197903
02/28/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-527.2,-527.2,-527.2,-527.2,33,248,197901,16:00:00,160.0,197903
03/01/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-526.2,-526.2,-526.2,-526.2,1,248,197901,16:00:00,161.0,197903
03/02/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-525.2,-524.2,-525.7,-524.5,20,253,197901,16:00:00,162.7,197903
03/03/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-524.7,-523.4,-524.7,-524.7,14,257,197901,16:00:00,162.5,197903
03/06/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-524.7,-524.7,-526.2,-525.4,89,319,197901,16:00:00,161.8,197903
03/07/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-524.7,-524.2,-524.7,-524.2,1,318,197901,16:00:00,163.0,197903
03/08/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-518.7,-518.7,-521.2,-519.5,41,353,197901,16:00:00,167.7,197903
03/09/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-515.2,-515.2,-518.2,-518.2,36,358,197901,16:00:00,169.0,197903
03/10/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-518.2,-518.2,-524.7,-524.7,41,374,197901,16:00:00,162.5,197903
03/13/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-523.9,-523.9,-523.9,-523.9,0,374,197901,16:00:00,163.3,197903
03/14/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-523.7,-520.2,-523.7,-522.7,40,400,197901,16:00:00,164.5,197903
03/15/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-523.2,-521.7,-523.2,-521.7,2,400,197901,16:00:00,165.5,197903
03/16/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-520.7,-520.2,-521.2,-520.2,12,534,197901,16:00:00,167.0,197903
03/17/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-513.2,-513.2,-515.1,-513.2,365,695,197901,16:00:00,174.0,197903
03/20/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-515.7,-514.2,-517.7,-514.2,109,722,197901,16:00:00,173.0,197903
03/21/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-516.7,-515.7,-518.7,-516.2,529,1170,197901,16:00:00,171.0,197903
03/22/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-514.7,-514.7,-518.2,-516.9,98,1129,197901,16:00:00,170.3,197903
03/23/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-518.2,-517.7,-518.2,-518.2,77,1103,197901,16:00:00,169.0,197903
03/27/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-516.2,-516.2,-516.7,-516.7,88,1083,197901,16:00:00,170.5,197903
03/28/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-516.7,-516.7,-518.7,-518.7,44,1113,197901,16:00:00,168.5,197903
03/29/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-519.7,-519.7,-526.2,-523.2,287,1244,197901,16:00:00,164.0,197903
03/30/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-523.2,-519.7,-523.2,-520.9,41,1252,197901,16:00:00,166.3,197903
03/31/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-516.7,-516.7,-518.2,-518.2,41,1276,197901,16:00:00,169.0,197903
04/03/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-517.0,-517.0,-517.0,-517.0,41,1297,197901,16:00:00,170.2,197903
04/04/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-518.2,-517.2,-518.2,-517.7,16,1297,197901,16:00:00,169.5,197903
04/05/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-517.2,-515.7,-518.2,-517.0,71,1306,197901,16:00:00,170.2,197903
04/06/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-516.0,-516.0,-517.2,-517.2,11,1305,197901,16:00:00,170.0,197903
04/07/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-516.2,-516.2,-516.2,-516.2,87,1304,197901,16:00:00,171.0,197903
04/10/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-517.2,-516.2,-517.7,-516.2,114,1295,197901,16:00:00,171.0,197903
04/11/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-513.7,-513.7,-513.7,-513.7,0,1295,197901,16:00:00,173.5,197903
04/12/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-514.2,-511.2,-514.2,-511.2,65,1346,197901,16:00:00,176.0,197903
04/13/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-515.7,-515.2,-518.2,-517.7,270,1440,197901,16:00:00,169.5,197903
04/14/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-517.5,-515.7,-517.7,-515.9,131,1431,197901,16:00:00,171.3,197903
04/17/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-514.9,-514.7,-516.2,-516.0,151,1462,197901,16:00:00,171.2,197903
04/18/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-516.2,-515.7,-517.2,-515.7,23,1462,197901,16:00:00,171.5,197903
04/19/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-516.2,-515.7,-517.2,-517.2,35,1486,197901,16:00:00,170.0,197903
04/20/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-518.2,-518.2,-520.2,-518.5,30,1484,197901,16:00:00,168.7,197903
04/21/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-517.2,-517.2,-518.4,-518.1,187,1546,197901,16:00:00,169.1,197903
04/24/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-522.2,-521.7,-523.2,-521.9,233,1544,197901,16:00:00,165.3,197903
04/25/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-522.2,-521.2,-522.2,-521.7,669,2097,197901,16:00:00,165.5,197903
04/26/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-520.2,-519.7,-522.7,-522.7,71,2141,197901,16:00:00,164.5,197903
04/27/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-524.2,-520.7,-524.2,-520.7,493,2477,197901,16:00:00,166.5,197903
04/28/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-520.4,-520.4,-522.2,-522.2,115,2455,197901,16:00:00,165.0,197903
05/01/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-522.7,-521.2,-524.2,-524.1,154,2554,197901,16:00:00,163.1,197903
05/02/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-523.7,-522.8,-524.2,-523.6,154,2582,197901,16:00:00,163.6,197903
05/03/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-524.2,-523.2,-524.4,-523.6,68,2618,197901,16:00:00,163.6,197903
05/04/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-522.2,-521.2,-522.7,-522.7,90,2657,197901,16:00:00,164.5,197903
05/05/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-521.2,-521.2,-521.7,-521.4,468,2966,197901,16:00:00,165.8,197903
05/08/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-520.7,-520.7,-521.9,-521.7,222,3109,197901,16:00:00,165.5,197903
05/09/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-522.2,-520.7,-522.2,-520.7,67,3127,197901,16:00:00,166.5,197903
05/10/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-520.7,-519.4,-521.1,-519.9,304,3238,197901,16:00:00,167.3,197903
05/11/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-519.7,-519.7,-520.7,-520.7,303,3290,197901,16:00:00,166.5,197903
05/12/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-521.2,-520.2,-521.2,-520.7,173,3324,197901,16:00:00,166.5,197903
05/15/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-520.7,-518.7,-520.7,-519.1,128,3372,197901,16:00:00,168.1,197903
05/16/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-519.7,-517.2,-519.7,-518.5,414,3850,197901,16:00:00,168.7,197903
05/17/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-519.2,-517.0,-519.2,-517.9,233,3890,197901,16:00:00,169.3,197903
05/18/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-517.2,-517.2,-519.7,-517.5,174,3866,197901,16:00:00,169.7,197903
05/19/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-517.2,-516.5,-517.7,-517.7,89,3890,197901,16:00:00,169.5,197903
05/22/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-517.7,-517.2,-518.2,-517.5,98,3970,197901,16:00:00,169.7,197903
05/23/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-515.7,-514.2,-516.7,-514.5,188,4049,197901,16:00:00,172.7,197903
05/24/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-514.2,-514.2,-515.4,-515.2,196,4055,197901,16:00:00,172.0,197903
05/25/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-514.2,-509.7,-514.2,-511.7,328,4143,197901,16:00:00,175.5,197903
05/26/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-510.7,-510.7,-513.2,-513.2,251,4192,197901,16:00:00,174.0,197903
05/30/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-512.7,-507.7,-513.2,-509.7,415,4365,197901,16:00:00,177.5,197903
05/31/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-509.2,-506.2,-509.2,-508.2,557,4496,197901,16:00:00,179.0,197903
06/01/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-509.2,-509.2,-512.4,-512.1,509,4714,197901,16:00:00,175.1,197903
06/02/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-512.9,-511.7,-517.7,-517.6,776,4920,197901,16:00:00,169.6,197903
06/05/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-516.7,-512.2,-517.7,-512.6,591,5029,197901,16:00:00,174.6,197903
06/06/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-511.7,-511.7,-515.7,-513.5,624,5077,197901,16:00:00,173.7,197903
06/07/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-514.2,-513.0,-516.7,-514.9,842,5377,197901,16:00:00,172.3,197903
06/08/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-515.2,-513.7,-515.7,-515.2,312,5385,197901,16:00:00,172.0,197903
06/09/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-514.7,-514.2,-515.7,-515.7,960,6012,197901,16:00:00,171.5,197903
06/12/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-516.0,-514.7,-516.7,-515.5,553,6326,197901,16:00:00,171.7,197903
06/13/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-515.2,-514.6,-516.0,-515.7,343,6370,197901,16:00:00,171.5,197903
06/14/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-516.5,-515.7,-523.2,-519.7,647,6498,197901,16:00:00,167.5,197903
06/15/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-519.2,-518.8,-521.4,-520.7,1167,7244,197901,16:00:00,166.5,197903
06/16/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-521.2,-519.4,-521.4,-519.9,445,7523,197901,16:00:00,167.3,197903
06/19/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-519.7,-519.0,-520.2,-519.7,176,7551,197901,16:00:00,167.5,197903
06/20/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-520.1,-519.0,-520.7,-519.1,153,7629,197901,16:00:00,168.1,197903
06/21/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-518.2,-518.1,-519.4,-518.5,1137,7988,197901,16:00:00,168.7,197903
06/22/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-519.2,-516.7,-519.2,-517.2,543,8218,197901,16:00:00,170.0,197903
06/23/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-515.7,-515.2,-516.7,-516.6,477,8346,197901,16:00:00,170.6,197903
06/26/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-515.6,-514.7,-516.3,-515.4,510,8429,197901,16:00:00,171.8,197903
06/27/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-515.2,-514.7,-516.4,-516.4,618,8805,197901,16:00:00,170.8,197903
06/28/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-516.9,-516.7,-518.1,-517.3,657,8942,197901,16:00:00,169.9,197903
06/29/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-517.4,-516.8,-517.7,-517.3,1374,9502,197901,16:00:00,169.9,197903
06/30/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-516.4,-515.7,-516.4,-516.3,684,9764,197901,16:00:00,170.9,197903
07/03/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-520.7,-520.2,-522.5,-522.3,1772,10325,197901,16:00:00,164.9,197903
07/05/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-521.2,-518.5,-521.2,-519.0,731,10322,197901,16:00:00,168.2,197903
07/06/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-519.1,-517.7,-519.2,-517.8,528,10610,197901,16:00:00,169.4,197903
07/07/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-517.7,-517.5,-519.2,-518.5,870,10774,197901,16:00:00,168.7,197903
07/10/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-519.2,-518.2,-519.7,-519.2,490,10876,197901,16:00:00,168.0,197903
07/11/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-519.7,-519.2,-520.1,-519.4,608,11256,197901,16:00:00,167.8,197903
07/12/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-519.2,-519.2,-520.2,-520.2,1375,11491,197901,16:00:00,167.0,197903
07/13/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-519.7,-518.0,-520.2,-519.9,1223,11598,197901,16:00:00,167.3,197903
07/14/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-520.9,-520.2,-521.6,-521.3,696,11815,197901,16:00:00,165.9,197903
07/17/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-521.5,-521.5,-526.2,-524.0,2267,12611,197901,16:00:00,163.2,197903
07/18/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-524.2,-523.9,-525.2,-524.9,916,12709,197901,16:00:00,162.3,197903
07/19/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-525.2,-523.7,-526.5,-523.9,752,12898,197901,16:00:00,163.3,197903
07/20/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-523.2,-523.2,-524.2,-523.8,345,13014,197901,16:00:00,163.4,197903
07/21/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-524.0,-522.1,-524.8,-522.2,729,13177,197901,16:00:00,165.0,197903
07/24/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-522.9,-522.9,-525.6,-525.5,640,13394,197901,16:00:00,161.7,197903
07/25/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-525.7,-524.6,-526.2,-525.1,840,13766,197901,16:00:00,162.1,197903
07/26/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-525.0,-523.2,-525.0,-523.2,2119,14292,197901,16:00:00,164.0,197903
07/27/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-522.9,-522.9,-524.7,-524.1,809,14535,197901,16:00:00,163.1,197903
07/28/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-523.2,-522.4,-523.8,-523.0,1498,14567,197901,16:00:00,164.2,197903
07/31/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-523.0,-522.7,-523.6,-523.6,684,14711,197901,16:00:00,163.6,197903
08/01/1978,&ZM_CCB,Soybean Meal Continuous Contract Backadjusted,-524.2,-523.9,-524.6,-524.1,988,15125,197901,16:00:00,163.1,197903
