Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
05/03/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-33.703125,-33.59375,-33.953125,-33.953125,33502,19478,198206,16:00:00,63.640625,198209
05/04/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-34.03125,-33.375,-34.125,-33.484375,17574,22160,198206,16:00:00,64.109375,198209
05/05/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-33.3125,-33.09375,-33.515625,-33.375,21100,25247,198206,16:00:00,64.21875,198209
05/06/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.890625,-32.421875,-32.921875,-32.453125,13026,23141,198206,16:00:00,65.140625,198209
05/07/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.21875,-32.140625,-32.5625,-32.203125,8481,22605,198206,16:00:00,65.390625,198209
05/10/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.375,-32.125,-32.453125,-32.3125,4956,22452,198206,16:00:00,65.28125,198209
05/11/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.53125,-32.078125,-32.5625,-32.203125,5998,21443,198206,16:00:00,65.390625,198209
05/12/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.21875,-31.921875,-32.71875,-32.53125,7085,21231,198206,16:00:00,65.0625,198209
05/13/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.640625,-32.5,-32.8125,-32.75,4758,20726,198206,16:00:00,64.84375,198209
05/14/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.59375,-32.0625,-32.640625,-32.3125,5422,19946,198206,16:00:00,65.28125,198209
05/17/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.21875,-32.0625,-32.78125,-32.71875,6266,20029,198206,16:00:00,64.875,198209
05/18/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.875,-32.453125,-33.03125,-32.53125,6201,19403,198206,16:00:00,65.0625,198209
05/19/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.75,-32.5625,-32.890625,-32.890625,5014,19270,198206,16:00:00,64.703125,198209
05/20/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.640625,-32.21875,-32.640625,-32.34375,6600,18914,198206,16:00:00,65.25,198209
05/21/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.390625,-32.171875,-32.453125,-32.421875,3741,18235,198206,16:00:00,65.171875,198209
05/24/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.5625,-32.34375,-32.625,-32.453125,2378,18270,198206,16:00:00,65.140625,198209
05/25/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.640625,-32.53125,-32.8125,-32.671875,3640,17898,198206,16:00:00,64.921875,198209
05/26/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-32.421875,-32.34375,-32.96875,-32.96875,4761,17823,198206,16:00:00,64.625,198209
05/27/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-33.03125,-32.84375,-33.09375,-33.09375,6059,17264,198206,16:00:00,64.5,198209
05/28/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-33.125,-32.90625,-33.21875,-33.15625,6308,17641,198209,16:00:00,64.390625,198212
06/01/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-33.328125,-33.328125,-33.96875,-33.890625,8090,18074,198209,16:00:00,63.65625,198212
06/02/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-33.71875,-33.578125,-33.90625,-33.65625,6567,18563,198209,16:00:00,63.890625,198212
06/03/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-33.65625,-33.4375,-33.90625,-33.734375,4218,18967,198209,16:00:00,63.8125,198212
06/04/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-33.828125,-33.828125,-34.140625,-34.046875,3742,19523,198209,16:00:00,63.5,198212
06/07/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-33.90625,-33.765625,-34.21875,-33.90625,3737,19788,198209,16:00:00,63.640625,198212
06/08/1982,&ZN_CCB,10-Year U.S. T-Note Continuous Contract Backadjusted,-33.96875,-33.890625,-34.078125,-33.984375,4029,19495,198209,16:00:00,63.5625,198212
