Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
04/26/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,462.25,462.75,456.25,456.25,5,4,197903,16:00:00,159.0,197905
04/27/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,455.25,455.25,455.25,455.25,0,4,197903,16:00:00,158.0,197905
04/28/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,455.25,455.25,455.25,455.25,0,4,197903,16:00:00,158.0,197905
05/01/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,455.75,457.25,455.25,456.25,9,12,197903,16:00:00,159.0,197905
05/02/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,454.75,455.25,454.25,455.25,108,117,197903,16:00:00,158.0,197905
05/03/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,453.75,456.75,453.75,456.75,1,118,197903,16:00:00,159.5,197905
05/04/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,457.25,459.25,457.25,459.25,10,121,197903,16:00:00,162.0,197905
05/05/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,460.25,461.0,460.0,461.0,3,120,197903,16:00:00,163.75,197905
05/08/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,461.25,461.25,459.25,459.25,22,133,197903,16:00:00,162.0,197905
05/09/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,459.25,461.25,458.5,460.75,28,155,197903,16:00:00,163.5,197905
05/10/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,461.25,461.5,459.75,461.5,16,164,197903,16:00:00,164.25,197905
05/11/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,462.25,463.5,461.75,463.5,13,167,197903,16:00:00,166.25,197905
05/12/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,462.75,463.5,462.5,463.5,9,167,197903,16:00:00,166.25,197905
05/15/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,463.75,464.75,463.5,464.25,18,183,197903,16:00:00,167.0,197905
05/16/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,465.25,466.5,465.25,466.0,3,183,197903,16:00:00,168.75,197905
05/17/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,463.25,465.5,463.25,465.0,14,193,197903,16:00:00,167.75,197905
05/18/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,463.75,464.25,462.75,464.25,5,195,197903,16:00:00,167.0,197905
05/19/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,463.75,463.75,463.75,463.75,0,195,197903,16:00:00,166.5,197905
05/22/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,462.5,462.5,462.5,462.5,0,195,197903,16:00:00,165.25,197905
05/23/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,462.75,466.5,462.75,466.25,36,206,197903,16:00:00,169.0,197905
05/24/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,466.25,467.25,462.75,463.25,3,206,197903,16:00:00,166.0,197905
05/25/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,463.75,466.0,463.75,466.0,9,215,197903,16:00:00,168.75,197905
05/26/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,465.25,466.0,464.75,466.0,8,219,197903,16:00:00,168.75,197905
05/30/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,464.75,467.25,464.25,466.25,6,221,197903,16:00:00,169.0,197905
05/31/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,466.25,466.25,460.25,460.25,9,218,197903,16:00:00,163.0,197905
06/01/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,458.75,459.75,457.75,459.25,7,219,197903,16:00:00,162.0,197905
06/02/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,458.25,459.25,454.25,455.25,15,217,197903,16:00:00,158.0,197905
06/05/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,453.75,457.5,453.75,457.5,11,218,197903,16:00:00,160.25,197905
06/06/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,456.25,457.75,453.75,454.75,16,221,197903,16:00:00,157.5,197905
06/07/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,453.25,453.25,450.75,451.75,14,223,197903,16:00:00,154.5,197905
06/08/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,450.25,452.25,448.75,452.0,14,224,197903,16:00:00,154.75,197905
06/09/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,451.75,451.75,448.75,450.0,12,226,197903,16:00:00,152.75,197905
06/12/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,449.25,451.5,449.25,451.25,16,233,197903,16:00:00,154.0,197905
06/13/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,450.25,452.75,450.25,452.75,4,236,197903,16:00:00,155.5,197905
06/14/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,450.25,450.75,449.25,450.0,11,236,197903,16:00:00,152.75,197905
06/15/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,448.75,451.5,448.75,451.5,1,236,197903,16:00:00,154.25,197905
06/16/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,451.25,453.25,451.25,453.25,14,234,197903,16:00:00,156.0,197905
06/19/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,453.25,455.25,453.25,455.25,8,234,197903,16:00:00,158.0,197905
06/20/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,454.75,455.0,452.75,454.0,13,232,197903,16:00:00,156.75,197905
06/21/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,452.25,452.75,449.25,449.5,18,237,197903,16:00:00,152.25,197905
06/22/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,445.25,449.25,445.25,449.25,9,232,197903,16:00:00,152.0,197905
06/23/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,446.25,447.75,446.25,447.75,2,234,197903,16:00:00,150.5,197905
06/26/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,447.25,447.25,445.5,446.25,5,239,197903,16:00:00,149.0,197905
06/27/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,445.25,446.25,444.0,444.25,78,276,197903,16:00:00,147.0,197905
06/28/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,442.25,442.75,440.25,440.75,45,278,197903,16:00:00,143.5,197905
06/29/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,440.25,443.25,440.25,441.25,22,289,197903,16:00:00,144.0,197905
06/30/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,441.75,444.5,441.25,444.25,49,314,197903,16:00:00,147.0,197905
07/03/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,442.75,442.75,440.0,440.75,82,335,197903,16:00:00,143.5,197905
07/05/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,441.25,443.75,441.25,443.75,35,335,197903,16:00:00,146.5,197905
07/06/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,444.25,446.0,442.75,445.5,24,334,197903,16:00:00,148.25,197905
07/07/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,445.25,446.25,443.75,445.25,11,335,197903,16:00:00,148.0,197905
07/10/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,444.75,446.25,444.75,445.25,12,342,197903,16:00:00,148.0,197905
07/11/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,444.75,444.75,443.25,444.75,31,351,197903,16:00:00,147.5,197905
07/12/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,443.25,445.25,443.25,445.25,38,366,197903,16:00:00,148.0,197905
07/13/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,444.75,449.25,444.75,447.25,254,552,197903,16:00:00,150.0,197905
07/14/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,447.75,448.75,445.75,445.75,194,690,197903,16:00:00,148.5,197905
07/17/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,443.25,443.25,439.75,440.25,102,736,197903,16:00:00,143.0,197905
07/18/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,439.75,439.75,434.25,435.0,131,811,197903,16:00:00,137.75,197905
07/19/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,434.25,440.25,432.25,440.25,180,915,197903,16:00:00,143.0,197905
07/20/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,440.75,441.25,437.75,440.0,272,1121,197903,16:00:00,142.75,197905
07/21/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,436.25,441.25,435.75,440.25,101,1175,197903,16:00:00,143.0,197905
07/24/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,439.25,439.25,436.0,436.0,37,1183,197903,16:00:00,138.75,197905
07/25/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,435.25,436.0,434.75,435.75,103,1252,197903,16:00:00,138.5,197905
07/26/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,436.75,438.5,436.5,438.25,46,1280,197903,16:00:00,141.0,197905
07/27/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,439.25,439.25,437.75,438.75,37,1274,197903,16:00:00,141.5,197905
07/28/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,440.25,442.25,438.25,440.0,211,1305,197903,16:00:00,142.75,197905
07/31/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,439.75,443.25,437.25,443.25,176,1326,197903,16:00:00,146.0,197905
08/01/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,443.25,443.25,440.25,440.25,105,1353,197903,16:00:00,143.0,197905
08/02/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,439.25,439.25,435.75,436.25,138,1332,197903,16:00:00,139.0,197905
08/03/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,436.75,439.0,436.75,438.25,82,1363,197903,16:00:00,141.0,197905
08/04/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,437.5,440.25,437.5,440.0,41,1368,197903,16:00:00,142.75,197905
08/07/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,439.5,439.5,434.0,434.0,148,1416,197903,16:00:00,136.75,197905
08/08/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,433.5,437.5,432.75,435.75,106,1443,197903,16:00:00,138.5,197905
08/09/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,438.0,439.25,436.5,438.25,210,1479,197903,16:00:00,141.0,197905
08/10/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,438.0,439.0,437.5,439.0,100,1537,197903,16:00:00,141.75,197905
08/11/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,433.0,438.0,433.0,438.0,230,1597,197903,16:00:00,140.75,197905
08/14/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,438.25,441.75,438.25,441.25,146,1595,197903,16:00:00,144.0,197905
08/15/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,440.75,442.0,440.75,442.0,59,1611,197903,16:00:00,144.75,197905
08/16/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,442.25,442.25,439.25,439.75,133,1612,197903,16:00:00,142.5,197905
08/17/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,439.5,442.25,439.25,441.5,101,1653,197903,16:00:00,144.25,197905
08/18/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,441.25,443.25,440.75,441.25,110,1699,197903,16:00:00,144.0,197905
08/21/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,441.0,441.75,440.0,441.0,109,1721,197903,16:00:00,143.75,197905
08/22/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,441.25,441.25,439.75,440.25,38,1736,197903,16:00:00,143.0,197905
08/23/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,439.25,439.75,439.0,439.5,105,1763,197903,16:00:00,142.25,197905
08/24/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,439.25,442.75,438.0,441.75,133,1798,197903,16:00:00,144.5,197905
08/25/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,442.25,442.75,441.5,442.25,144,1808,197903,16:00:00,145.0,197905
08/28/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,441.25,441.25,439.75,440.25,109,1858,197903,16:00:00,143.0,197905
08/29/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,440.0,440.75,438.25,439.0,214,1905,197903,16:00:00,141.75,197905
08/30/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,439.5,441.75,439.5,441.25,147,1962,197903,16:00:00,144.0,197905
08/31/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,442.0,442.0,439.5,439.5,314,2040,197903,16:00:00,142.25,197905
09/01/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,439.25,440.25,439.25,440.25,98,2067,197903,16:00:00,143.0,197905
09/05/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,439.75,439.75,439.0,439.25,70,2087,197903,16:00:00,142.0,197905
09/06/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,438.75,442.0,438.75,441.75,156,2151,197903,16:00:00,144.5,197905
09/07/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,441.25,446.25,441.25,446.0,512,2195,197903,16:00:00,148.75,197905
09/08/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,447.0,448.75,446.0,448.25,383,2144,197903,16:00:00,151.0,197905
09/11/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,448.0,448.25,446.75,447.75,335,2275,197903,16:00:00,150.5,197905
09/12/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,447.75,447.75,446.25,446.5,533,2540,197903,16:00:00,149.25,197905
09/13/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,446.25,450.25,445.75,448.75,645,2840,197903,16:00:00,151.5,197905
09/14/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,448.75,449.75,446.75,447.0,202,2893,197903,16:00:00,149.75,197905
09/15/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,446.75,446.75,441.75,443.75,428,2962,197903,16:00:00,146.5,197905
09/18/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,444.75,446.5,444.5,445.5,182,3022,197903,16:00:00,148.25,197905
09/19/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,446.0,447.5,445.5,447.25,905,3009,197903,16:00:00,150.0,197905
09/20/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,449.25,449.5,447.25,449.25,331,3000,197903,16:00:00,152.0,197905
09/21/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,447.25,449.0,446.75,447.0,252,3012,197903,16:00:00,149.75,197905
09/22/1978,&ZO_CCB,Oats Continuous Contract Backadjusted,447.25,447.75,445.25,446.5,226,3045,197903,16:00:00,149.25,197905
