Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
10/03/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.6075,85.6575,85.5975,85.6275,912,517,198810,16:00:00,91.78,198811
10/04/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.6275,85.6275,85.6175,85.6175,525,650,198810,16:00:00,91.77,198811
10/05/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.6475,85.6475,85.6375,85.6375,378,804,198810,16:00:00,91.79,198811
10/06/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.6275,85.6375,85.5975,85.5975,1015,1317,198810,16:00:00,91.75,198811
10/07/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.6075,85.6275,85.6075,85.6275,1082,1196,198810,16:00:00,91.78,198811
10/10/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.6175,85.6275,85.6175,85.6175,56,1177,198810,16:00:00,91.77,198811
10/11/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5975,85.6075,85.5875,85.6075,159,1176,198810,16:00:00,91.76,198811
10/12/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5775,85.5775,85.5775,85.5775,502,1363,198810,16:00:00,91.73,198811
10/13/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5875,85.5975,85.5875,85.5975,254,1392,198810,16:00:00,91.75,198811
10/14/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.6075,85.6175,85.6075,85.6175,322,1490,198810,16:00:00,91.77,198811
10/17/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.6175,85.6175,85.5975,85.6075,621,1773,198810,16:00:00,91.76,198811
10/18/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5975,85.5975,85.5875,85.5975,280,1856,198810,16:00:00,91.75,198811
10/19/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5875,85.5875,85.5675,85.5675,120,1841,198810,16:00:00,91.72,198811
10/20/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5475,85.5675,85.5375,85.5675,562,1906,198810,16:00:00,91.72,198811
10/21/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5575,85.5575,85.5475,85.5575,52,1925,198810,16:00:00,91.71,198811
10/24/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5575,85.5675,85.5575,85.5575,272,1962,198810,16:00:00,91.71,198811
10/25/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5575,85.5575,85.5575,85.5575,165,1981,198810,16:00:00,91.71,198811
10/26/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5675,85.5675,85.5675,85.5675,285,2035,198810,16:00:00,91.72,198811
10/27/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5575,85.5575,85.5475,85.5575,511,2277,198810,16:00:00,91.71,198811
10/28/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5575,85.5575,85.5475,85.5475,288,2313,198810,16:00:00,91.7,198811
10/31/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5275,85.5375,85.5275,85.5375,129,2057,198811,16:00:00,91.73,198812
11/01/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5675,85.5675,85.5375,85.5475,233,2126,198811,16:00:00,91.74,198812
11/02/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5175,85.5175,85.5175,85.5175,172,2188,198811,16:00:00,91.71,198812
11/03/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.5075,85.5075,85.4875,85.4875,294,2320,198811,16:00:00,91.68,198812
11/04/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.4775,85.5075,85.4575,85.4675,664,2416,198811,16:00:00,91.66,198812
11/07/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.4575,85.4575,85.4275,85.4275,489,2255,198811,16:00:00,91.62,198812
11/08/1988,&ZQ_CCB,30 Day Federal Funds Continuous Contract Backadjusted,85.4375,85.4375,85.4075,85.4075,107,2246,198811,16:00:00,91.6,198812
