Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
08/20/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3819.0,3829.0,3819.0,3825.0,189,53,198611,16:00:00,396.5,198701
08/21/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3825.5,3829.5,3825.5,3828.5,158,127,198611,16:00:00,400.0,198701
08/22/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3828.5,3832.5,3828.0,3832.0,68,161,198611,16:00:00,403.5,198701
08/25/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3833.0,3838.0,3832.5,3836.0,48,174,198611,16:00:00,407.5,198701
08/26/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3836.5,3839.5,3836.5,3839.5,67,177,198611,16:00:00,411.0,198701
08/27/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3841.5,3845.0,3840.5,3844.5,55,181,198611,16:00:00,416.0,198701
08/28/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3844.5,3846.0,3843.0,3844.0,24,188,198611,16:00:00,415.5,198701
08/29/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3845.0,3849.5,3844.5,3849.5,53,201,198611,16:00:00,421.0,198701
09/02/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3848.0,3848.0,3846.5,3847.0,8,192,198611,16:00:00,418.5,198701
09/03/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3847.0,3847.0,3846.5,3846.5,13,186,198611,16:00:00,418.0,198701
09/04/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3846.0,3846.0,3843.5,3843.5,22,195,198611,16:00:00,415.0,198701
09/05/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3843.0,3843.0,3842.5,3843.0,9,201,198611,16:00:00,414.5,198701
09/08/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3843.0,3843.0,3839.5,3839.5,46,219,198611,16:00:00,411.0,198701
09/09/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3839.5,3841.5,3839.5,3840.0,22,225,198611,16:00:00,411.5,198701
09/10/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3834.5,3836.5,3832.0,3836.0,46,263,198611,16:00:00,407.5,198701
09/11/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3836.5,3837.5,3835.5,3835.5,62,283,198611,16:00:00,407.0,198701
09/12/1986,&ZR_CCB,Rough Rice Continuous Contract Backadjusted,3835.5,3837.0,3835.0,3835.5,28,294,198611,16:00:00,407.0,198701
