Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
11/21/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,192.25,192.25,180.75,180.75,10,10,197901,16:00:00,609.0,197903
11/22/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,180.75,180.75,171.75,171.75,45,51,197901,16:00:00,600.0,197903
11/23/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,171.75,173.75,167.75,169.25,59,86,197901,16:00:00,597.5,197903
11/25/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,171.75,184.75,171.75,182.25,138,190,197901,16:00:00,610.5,197903
11/28/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,182.75,182.75,169.75,169.75,85,247,197901,16:00:00,598.0,197903
11/29/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,169.75,170.25,157.25,170.25,33,259,197901,16:00:00,598.5,197903
11/30/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,169.75,169.75,161.25,161.25,13,263,197901,16:00:00,589.5,197903
12/01/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,159.75,164.25,159.75,162.75,95,330,197901,16:00:00,591.0,197903
12/02/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,165.75,167.75,162.75,162.75,21,343,197901,16:00:00,591.0,197903
12/05/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,160.75,160.75,158.25,158.25,1,343,197901,16:00:00,586.5,197903
12/06/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,157.25,160.25,156.25,160.25,115,453,197901,16:00:00,588.5,197903
12/07/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,165.75,167.75,162.75,167.75,43,481,197901,16:00:00,596.0,197903
12/08/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,175.75,178.75,175.75,177.75,20,488,197901,16:00:00,606.0,197903
12/09/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,180.75,180.75,171.75,172.75,20,488,197901,16:00:00,601.0,197903
12/12/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,168.75,168.75,161.75,162.25,31,504,197901,16:00:00,590.5,197903
12/13/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,160.75,165.75,159.75,165.75,38,532,197901,16:00:00,594.0,197903
12/14/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,167.75,167.75,161.75,163.75,50,570,197901,16:00:00,592.0,197903
12/15/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,167.25,172.25,167.25,172.25,5,573,197901,16:00:00,600.5,197903
12/16/1977,&ZS_CCB,Soybean Continuous Contract Backadjusted,171.75,173.25,169.25,169.25,124,628,197901,16:00:00,597.5,197903
