Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
06/22/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,67.734375,67.734375,67.71875,67.71875,3394,870,199009,16:00:00,95.8515625,199012
06/25/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,67.734375,67.734375,67.640625,67.640625,755,1032,199009,16:00:00,95.7734375,199012
06/26/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,67.609375,67.7734375,67.59375,67.65625,1448,1416,199009,16:00:00,95.7890625,199012
06/27/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,67.671875,67.734375,67.671875,67.734375,915,1416,199009,16:00:00,95.8671875,199012
06/28/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,67.7421875,67.8515625,67.7421875,67.8515625,725,1278,199009,16:00:00,95.984375,199012
06/29/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,67.8671875,67.96875,67.8046875,67.9609375,148,1238,199009,16:00:00,96.09375,199012
07/02/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,67.9296875,67.96875,67.9296875,67.9453125,168,1327,199009,16:00:00,96.078125,199012
07/03/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,67.9453125,68.015625,67.9296875,68.015625,94,1356,199009,16:00:00,96.1484375,199012
07/05/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.0,68.03125,67.9609375,67.9609375,962,1767,199009,16:00:00,96.09375,199012
07/06/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,67.9140625,67.9140625,67.734375,67.7578125,204,1789,199009,16:00:00,95.890625,199012
07/09/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,67.71875,67.71875,67.671875,67.6875,331,1772,199009,16:00:00,95.8203125,199012
07/10/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,67.71875,67.71875,67.625,67.65625,221,1650,199009,16:00:00,95.7890625,199012
07/11/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,67.6875,67.7421875,67.6875,67.703125,719,1918,199009,16:00:00,95.8359375,199012
07/12/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,67.71875,68.0,67.578125,67.96875,735,2200,199009,16:00:00,96.1015625,199012
07/13/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.0625,68.1875,67.8828125,68.078125,1396,2918,199009,16:00:00,96.2109375,199012
07/16/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.046875,68.078125,68.046875,68.078125,662,3084,199009,16:00:00,96.2109375,199012
07/17/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.046875,68.125,68.046875,68.109375,499,3404,199009,16:00:00,96.2421875,199012
07/18/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.0625,68.15625,68.015625,68.09375,442,3589,199009,16:00:00,96.2265625,199012
07/19/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.03125,68.125,68.03125,68.109375,652,3994,199009,16:00:00,96.2421875,199012
07/20/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.171875,68.2109375,68.15625,68.1953125,1272,4192,199009,16:00:00,96.328125,199012
07/23/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.078125,68.421875,68.078125,68.2421875,1302,4809,199009,16:00:00,96.375,199012
07/24/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.15625,68.1875,68.125,68.125,516,5212,199009,16:00:00,96.2578125,199012
07/25/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.140625,68.2421875,68.140625,68.15625,1113,5761,199009,16:00:00,96.2890625,199012
07/26/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.15625,68.1875,68.15625,68.171875,168,5843,199009,16:00:00,96.3046875,199012
07/27/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.15625,68.3515625,68.15625,68.3359375,1341,6496,199009,16:00:00,96.46875,199012
07/30/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.3671875,68.515625,68.3671875,68.515625,831,6678,199009,16:00:00,96.6484375,199012
07/31/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.484375,68.546875,68.453125,68.546875,292,6507,199009,16:00:00,96.6796875,199012
08/01/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.546875,68.7265625,68.546875,68.6953125,1094,6648,199009,16:00:00,96.828125,199012
08/02/1990,&ZT_CCB,2-Year U.S. T-Note Continuous Contract Backadjusted,68.59375,68.6640625,68.546875,68.546875,538,6776,199009,16:00:00,96.6796875,199012
