Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/05/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2382.25,2382.25,2379.75,2380.0,10,10,197903,16:00:00,302.75,197905
01/06/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2383.25,2383.25,2383.25,2383.25,0,10,197903,16:00:00,306.0,197905
01/09/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2383.25,2383.25,2382.25,2383.25,2,10,197903,16:00:00,306.0,197905
01/10/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2384.75,2386.5,2384.75,2386.5,26,20,197903,16:00:00,309.25,197905
01/11/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2387.75,2387.75,2387.75,2387.75,13,30,197903,16:00:00,310.5,197905
01/12/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2388.25,2388.25,2388.25,2388.25,0,30,197903,16:00:00,311.0,197905
01/13/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2388.25,2389.25,2388.25,2388.25,2,30,197903,16:00:00,311.0,197905
01/16/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2387.25,2387.25,2384.25,2384.25,3,30,197903,16:00:00,307.0,197905
01/17/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2384.25,2386.75,2384.25,2386.75,1,31,197903,16:00:00,309.5,197905
01/18/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2387.25,2389.75,2387.25,2387.75,13,31,197903,16:00:00,310.5,197905
01/19/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2387.75,2387.75,2387.75,2387.75,0,31,197903,16:00:00,310.5,197905
01/20/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2387.25,2389.25,2387.25,2389.25,12,43,197903,16:00:00,312.0,197905
01/23/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2389.75,2391.25,2389.75,2389.75,11,43,197903,16:00:00,312.5,197905
01/24/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2387.5,2388.25,2387.0,2387.75,2,43,197903,16:00:00,310.5,197905
01/25/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2387.25,2388.75,2387.25,2387.5,25,45,197903,16:00:00,310.25,197905
01/26/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2387.0,2387.0,2380.25,2380.25,10,49,197903,16:00:00,303.0,197905
01/27/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2381.5,2383.25,2381.5,2382.75,5,54,197903,16:00:00,305.5,197905
01/30/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2383.25,2383.25,2381.75,2381.75,3,54,197903,16:00:00,304.5,197905
01/31/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2378.25,2378.25,2376.25,2376.25,18,62,197903,16:00:00,299.0,197905
02/01/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2375.25,2376.25,2374.25,2375.25,31,71,197903,16:00:00,298.0,197905
02/02/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2375.75,2377.75,2375.75,2377.5,5,74,197903,16:00:00,300.25,197905
02/03/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2377.25,2377.25,2375.75,2376.75,23,91,197903,16:00:00,299.5,197905
02/06/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2379.25,2379.25,2377.25,2377.25,29,97,197903,16:00:00,300.0,197905
02/07/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2375.25,2375.25,2374.0,2374.0,1,98,197903,16:00:00,296.75,197905
02/08/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2372.25,2372.25,2370.25,2370.75,35,116,197903,16:00:00,293.5,197905
02/09/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2370.25,2372.0,2370.25,2371.75,13,119,197903,16:00:00,294.5,197905
02/10/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2372.25,2372.5,2371.25,2371.25,26,135,197903,16:00:00,294.0,197905
02/13/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2372.25,2372.25,2368.75,2369.25,10,137,197903,16:00:00,292.0,197905
02/14/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2369.25,2369.25,2368.25,2369.25,2,139,197903,16:00:00,292.0,197905
02/15/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2369.25,2369.75,2367.25,2367.25,66,182,197903,16:00:00,290.0,197905
02/16/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2367.0,2367.0,2365.75,2365.75,5,184,197903,16:00:00,288.5,197905
02/17/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2366.0,2366.0,2365.75,2366.0,12,185,197903,16:00:00,288.75,197905
02/21/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2365.5,2369.25,2365.0,2366.25,24,191,197903,16:00:00,289.0,197905
02/22/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2366.5,2366.5,2365.25,2365.5,9,194,197903,16:00:00,288.25,197905
02/23/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2364.25,2364.25,2361.25,2361.25,61,204,197903,16:00:00,284.0,197905
02/24/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2361.75,2363.0,2361.25,2361.25,26,210,197903,16:00:00,284.0,197905
02/27/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2360.75,2361.0,2359.25,2359.5,7,215,197903,16:00:00,282.25,197905
02/28/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2359.25,2359.25,2358.0,2359.0,17,222,197903,16:00:00,281.75,197905
03/01/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2360.25,2361.5,2359.75,2361.5,25,233,197903,16:00:00,284.25,197905
03/02/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2361.25,2363.25,2361.25,2362.5,39,268,197903,16:00:00,285.25,197905
03/03/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2365.25,2367.25,2363.75,2364.75,43,252,197903,16:00:00,287.5,197905
03/06/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2366.5,2367.0,2365.5,2365.75,163,316,197903,16:00:00,288.5,197905
03/07/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2368.25,2375.25,2366.75,2375.25,78,376,197903,16:00:00,298.0,197905
03/08/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2376.75,2378.25,2374.5,2376.75,80,422,197903,16:00:00,299.5,197905
03/09/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2378.0,2378.0,2370.75,2370.75,63,457,197903,16:00:00,293.5,197905
03/10/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2366.25,2369.0,2366.25,2368.25,25,463,197903,16:00:00,291.0,197905
03/13/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2370.25,2383.25,2370.25,2383.25,60,474,197903,16:00:00,306.0,197905
03/14/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2383.25,2386.25,2380.25,2383.25,244,510,197903,16:00:00,306.0,197905
03/15/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2382.0,2392.25,2381.75,2388.5,108,552,197903,16:00:00,311.25,197905
03/16/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2387.25,2390.75,2387.25,2388.75,215,560,197903,16:00:00,311.5,197905
03/17/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2396.25,2405.25,2393.25,2397.75,108,571,197903,16:00:00,320.5,197905
03/20/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2399.25,2403.0,2394.75,2396.25,79,595,197903,16:00:00,319.0,197905
03/21/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2394.75,2394.75,2387.25,2388.25,71,627,197903,16:00:00,311.0,197905
03/22/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2394.25,2395.75,2391.25,2391.25,283,802,197903,16:00:00,314.0,197905
03/23/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2394.25,2394.25,2389.25,2392.75,41,813,197903,16:00:00,315.5,197905
03/27/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2398.75,2402.25,2398.75,2401.75,154,924,197903,16:00:00,324.5,197905
03/28/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2400.75,2402.0,2397.75,2399.5,66,950,197903,16:00:00,322.25,197905
03/29/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2395.75,2398.25,2385.25,2390.25,163,986,197903,16:00:00,313.0,197905
03/30/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2393.25,2400.75,2391.75,2400.5,211,1068,197903,16:00:00,323.25,197905
03/31/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2408.25,2411.75,2403.75,2410.25,203,1104,197903,16:00:00,333.0,197905
04/03/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2410.25,2412.25,2405.25,2410.0,168,1186,197903,16:00:00,332.75,197905
04/04/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2409.75,2419.5,2406.75,2419.25,312,1140,197903,16:00:00,342.0,197905
04/05/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2419.25,2420.25,2413.25,2413.5,718,1417,197903,16:00:00,336.25,197905
04/06/1978,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,2413.25,2413.25,2409.0,2409.25,147,1426,197903,16:00:00,332.0,197905
